n_cores;seq_time;threads_time;ff_time;omp_time
1;8234660755.00;8557461334.00;8263264842.00;7932902752.00
2;8234660755.00;4438708942.00;4505826053.00;4320146160.00
3;8234660755.00;3442601523.00;3937039615.00;3896537259.00
4;8234660755.00;2991244946.00;2929207067.00;2906085586.00
5;8234660755.00;2404244802.00;2410800930.00;2280809560.00
6;8234660755.00;2036635996.00;1993267890.00;1952901848.00
7;8234660755.00;1769023367.00;1757410035.00;1647368239.00
8;8234660755.00;1561487311.00;1519207916.00;1503400427.00
9;8234660755.00;1455573517.00;1389454256.00;1350683175.00
10;8234660755.00;1305738926.00;1261335957.00;1209733865.00
11;8234660755.00;1193188291.00;1186346088.00;1111067943.00
12;8234660755.00;1339998172.00;1189882636.00;1164889559.00
13;8234660755.00;1117094977.00;1100228206.00;1029573373.00
14;8234660755.00;1029454832.00;1013098608.00;978996846.00
15;8234660755.00;969557099.00;945400200.00;910907206.00
16;8234660755.00;905526315.00;884609998.00;882889145.00
17;8234660755.00;962150280.00;1324903070.00;851872324.00
18;8234660755.00;852696372.00;1258405963.00;851745679.00
19;8234660755.00;878784894.00;1304363588.00;823632714.00
20;8234660755.00;840569256.00;1248966749.00;861701273.00
21;8234660755.00;803841450.00;1251802646.00;825404203.00
22;8234660755.00;811480780.00;1167571625.00;798251228.00
23;8234660755.00;820522631.00;1183708376.00;810248735.00
24;8234660755.00;776526705.00;1080506229.00;893304972.00
25;8234660755.00;784852195.00;1063869356.00;844669947.00
26;8234660755.00;870990095.00;1148495114.00;835494025.00
27;8234660755.00;886228077.00;1046959023.00;870477310.00
28;8234660755.00;847819237.00;975098097.00;898431789.00
29;8234660755.00;866044678.00;936563746.00;873403704.00
30;8234660755.00;822908337.00;912766267.00;856703237.00
31;8234660755.00;861466128.00;985975137.00;875209202.00
32;8234660755.00;828010222.00;924967957.00;841246953.00
33;8234660755.00;857002788.00;1094964144.00;812156624.00
34;8234660755.00;881121435.00;1066059926.00;824588567.00
35;8234660755.00;820714217.00;1111766418.00;814188548.00
36;8234660755.00;809655642.00;1075905404.00;819228756.00
37;8234660755.00;834234327.00;1027027176.00;778999277.00
38;8234660755.00;783637860.00;1038818757.00;791718047.00
39;8234660755.00;776662839.00;1007254219.00;781179220.00
40;8234660755.00;778142944.00;995820310.00;790521198.00
41;8234660755.00;806274133.00;1005134481.00;771476644.00
42;8234660755.00;756586151.00;938938678.00;775151838.00
43;8234660755.00;810280032.00;963632369.00;786747710.00
44;8234660755.00;815507958.00;957446012.00;788722457.00
45;8234660755.00;911524358.00;951773401.00;811926322.00
46;8234660755.00;824887817.00;909738977.00;804838594.00
47;8234660755.00;812139404.00;1001946544.00;799986858.00
48;8234660755.00;820970738.00;950533219.00;793908517.00
49;8234660755.00;846920035.00;1053664615.00;825210173.00
50;8234660755.00;831015454.00;1059815713.00;823605314.00
51;8234660755.00;816959430.00;1094459446.00;803772297.00
52;8234660755.00;913057121.00;1204797245.00;836907807.00
53;8234660755.00;861686909.00;1073846629.00;810633442.00
54;8234660755.00;824933249.00;1001980664.00;823718039.00
55;8234660755.00;818282560.00;1051876399.00;813680762.00
56;8234660755.00;828159483.00;1051026501.00;817524270.00
57;8234660755.00;855611805.00;1037763544.00;858717664.00
58;8234660755.00;818911754.00;1015315705.00;807099341.00
59;8234660755.00;817890548.00;1009690001.00;800484359.00
60;8234660755.00;804538992.00;975688280.00;780141807.00
61;8234660755.00;798984200.00;940156229.00;782363879.00
62;8234660755.00;790057521.00;967332625.00;789932106.00
63;8234660755.00;801179852.00;948266879.00;779452897.00
64;8234660755.00;824182493.00;957893479.00;777964453.00
65;8234660755.00;801819873.00;973547691.00;773174629.00
66;8234660755.00;826992299.00;997340896.00;778477864.00
67;8234660755.00;796520489.00;1050986441.00;794679527.00
68;8234660755.00;832765955.00;1014995557.00;785603338.00
69;8234660755.00;819366598.00;1006125782.00;769202327.00
70;8234660755.00;807266253.00;986987234.00;793647990.00
71;8234660755.00;842904967.00;1012839112.00;768702754.00
72;8234660755.00;805833599.00;1030494493.00;792384452.00
73;8234660755.00;787849255.00;986534938.00;789370380.00
74;8234660755.00;875266268.00;935586090.00;767762529.00
75;8234660755.00;788714399.00;942194935.00;769848892.00
76;8234660755.00;780472485.00;903820658.00;788185736.00
77;8234660755.00;783690744.00;880863993.00;776926166.00
78;8234660755.00;770651724.00;910928830.00;757846032.00
79;8234660755.00;790851725.00;865974999.00;805434658.00
80;8234660755.00;789373185.00;906625533.00;788362596.00
81;8234660755.00;867917936.00;934697399.00;764901791.00
82;8234660755.00;789944107.00;967705783.00;758698452.00
83;8234660755.00;782953600.00;994478137.00;764276213.00
84;8234660755.00;774803896.00;962374498.00;766366678.00
85;8234660755.00;804619911.00;942569404.00;779242957.00
86;8234660755.00;778366273.00;970432150.00;773049819.00
87;8234660755.00;800897770.00;950396336.00;768211597.00
88;8234660755.00;792017905.00;915195240.00;780819252.00
89;8234660755.00;789262259.00;955720758.00;770149637.00
90;8234660755.00;796472758.00;907601168.00;765683647.00
91;8234660755.00;795029423.00;960058595.00;781951912.00
92;8234660755.00;782282632.00;911583777.00;767281959.00
93;8234660755.00;783620134.00;910597080.00;756359923.00
94;8234660755.00;790088870.00;953415491.00;771492992.00
95;8234660755.00;796941838.00;917227614.00;765801800.00
96;8234660755.00;778827695.00;932234871.00;777666392.00
97;8234660755.00;796768701.00;965884204.00;809015633.00
98;8234660755.00;799361108.00;996657793.00;782943516.00
99;8234660755.00;841564466.00;1040161158.00;780391389.00
100;8234660755.00;826933517.00;960946546.00;758760849.00
101;8234660755.00;863936534.00;988679077.00;788194127.00
102;8234660755.00;826552362.00;994507756.00;788377732.00
103;8234660755.00;823228870.00;972718801.00;776589326.00
104;8234660755.00;775423319.00;928052914.00;782102881.00
105;8234660755.00;790979524.00;950435593.00;776664912.00
106;8234660755.00;811019606.00;909230101.00;762943642.00
107;8234660755.00;782144658.00;996149530.00;759412334.00
108;8234660755.00;787403491.00;984940071.00;758592856.00
109;8234660755.00;773816535.00;927612318.00;761226869.00
110;8234660755.00;804796641.00;884458264.00;779559308.00
111;8234660755.00;904894780.00;890041425.00;763461440.00
112;8234660755.00;792588491.00;890551858.00;778874032.00
113;8234660755.00;803964042.00;962498918.00;760991713.00
114;8234660755.00;772530281.00;949651122.00;760399354.00
115;8234660755.00;770448895.00;933389240.00;750707628.00
116;8234660755.00;797744189.00;988009737.00;746755887.00
117;8234660755.00;788332787.00;962400466.00;758252747.00
118;8234660755.00;777083729.00;995266026.00;760592737.00
119;8234660755.00;967729295.00;935007935.00;764276338.00
120;8234660755.00;774861725.00;926244586.00;753601830.00
121;8234660755.00;772490517.00;923031305.00;760610313.00
122;8234660755.00;797694833.00;969043774.00;778392904.00
123;8234660755.00;970437382.00;959764281.00;764541228.00
124;8234660755.00;774282344.00;942884649.00;776365116.00
125;8234660755.00;779132644.00;934656846.00;759263368.00
126;8234660755.00;780768674.00;928586225.00;767490353.00
127;8234660755.00;781744249.00;882389925.00;782394701.00
128;8234660755.00;790523681.00;928082864.00;772430355.00
