n_cores;seq_time;threads_time;ff_time;omp_time
1;3347872.40;3428458.20;3424918.20;2894735.20
2;3347872.40;2971901.40;5886918.60;1906935.20
3;3347872.40;5113875.40;6302812.20;1398193.40
4;3347872.40;6876939.00;8075136.40;2065228.00
5;3347872.40;7375299.60;7243108.60;1873332.40
6;3347872.40;12035878.20;7991269.80;1984001.60
7;3347872.40;10251013.40;13640868.80;3240063.40
8;3347872.40;9465149.20;11954611.60;2811628.60
9;3347872.40;10799057.60;14047662.00;4750746.20
10;3347872.40;15131090.20;11971193.00;2575989.60
11;3347872.40;19241884.20;16834068.40;8509331.80
12;3347872.40;18182237.80;16082127.20;4199321.00
13;3347872.40;18046986.60;13424391.40;8967288.80
14;3347872.40;23496409.80;17587209.60;5892138.80
15;3347872.40;21335854.00;13989057.40;17418415.80
16;3347872.40;22982188.20;19379675.60;3965402.20
17;3347872.40;31348848.20;25830539.60;13630228.20
18;3347872.40;24374181.20;27472733.40;19408737.40
19;3347872.40;26053397.40;20098513.60;19175258.40
20;3347872.40;26896326.40;22927663.80;36086813.60
21;3347872.40;32967339.40;23756551.20;12554160.20
22;3347872.40;34784427.40;18113712.40;18402035.80
23;3347872.40;29400169.60;27745935.20;12368285.20
24;3347872.40;33902855.60;26232552.20;367407623.60
25;3347872.40;36973565.20;26595561.80;326269340.00
26;3347872.40;44447452.60;33395454.60;171233218.20
27;3347872.40;39072956.00;29246697.20;489763909.20
28;3347872.40;39515131.80;26394565.20;804408744.80
29;3347872.40;42034276.80;37453944.20;650711492.40
30;3347872.40;44824643.80;36023787.80;913987832.60
31;3347872.40;48404034.20;37631559.00;890423198.00
32;3347872.40;43510537.00;34121053.20;857671456.00
33;3347872.40;47954598.00;33918396.80;45492518.00
34;3347872.40;43767217.60;34647916.60;46558384.20
35;3347872.40;54898242.40;41769395.40;47079747.00
36;3347872.40;43994936.40;35947002.00;47882012.20
37;3347872.40;46719157.80;49029945.40;47908014.40
38;3347872.40;46172293.00;31760661.60;46869609.60
39;3347872.40;51278368.20;37362937.00;51187020.80
40;3347872.40;54938705.40;36393118.40;37138518.80
41;3347872.40;52272368.80;42029776.60;45647310.60
42;3347872.40;58688210.60;51392297.40;65433938.80
43;3347872.40;100108337.20;57420227.40;69309773.80
44;3347872.40;50604833.80;45348766.00;47826468.00
45;3347872.40;51584533.20;39807715.60;48050885.80
46;3347872.40;57464971.40;46961937.20;46731998.60
