n;seq_time;threads_time;ff_time;omp_time
500;7465522.60;3701698.80;8083872.40;1581467.60
1000;31495422.00;7001545.20;11687063.20;3910415.60
5000;796720106.40;103245653.60;73453709.00;60763544.80
10000;3205351259.20;417705908.40;435083293.20;239207856.80
15000;7587376736.20;909426436.20;523158122.20;486313766.00
20000;12820107966.40;1623189726.60;1682961379.40;902036427.00
