n_cores;seq_time;threads_time;ff_time;omp_time
1;152146640.00;158088415.60;155828478.00;152799474.20
2;152146640.00;112469558.00;82243224.60;77262790.60
3;152146640.00;77188083.40;60014087.60;52439347.60
4;152146640.00;67305482.00;46621000.60;39428134.00
5;152146640.00;62169314.00;38276273.40;31972424.40
6;152146640.00;58407726.00;33616267.20;27613344.80
7;152146640.00;47677351.80;30748457.20;24507114.00
8;152146640.00;48446238.00;28076844.60;21807498.60
9;152146640.00;43966647.60;26159037.20;19125645.00
10;152146640.00;44183926.40;26403818.60;18692647.20
11;152146640.00;40275506.20;25577666.40;21513492.80
12;152146640.00;37239081.40;23603014.40;23032544.60
13;152146640.00;38149900.80;25732220.00;23215820.60
14;152146640.00;42623809.80;22984080.00;21232987.80
15;152146640.00;36121423.40;23884918.80;21502751.40
16;152146640.00;35250667.80;22535161.20;23142053.80
17;152146640.00;39916813.40;24472929.60;28564986.00
18;152146640.00;43422078.20;24356859.40;36886929.60
19;152146640.00;42398708.60;24782796.40;32613917.60
20;152146640.00;42808264.40;23211819.20;31511721.60
21;152146640.00;43140033.20;26508366.20;48192152.60
22;152146640.00;44352378.00;26702662.80;36470252.40
23;152146640.00;44463307.40;26488483.80;25227294.40
24;152146640.00;46072727.20;25472415.40;35508748.60
25;152146640.00;42507336.80;24822998.80;32765689.40
26;152146640.00;43602352.00;25501557.80;32213541.60
27;152146640.00;43806169.40;26415796.80;34818767.60
28;152146640.00;44564054.40;28003054.80;39225970.80
29;152146640.00;43851572.80;28457314.20;46150992.60
30;152146640.00;47070112.40;26415076.20;31724477.80
31;152146640.00;46866354.20;30676426.60;54442472.60
32;152146640.00;46387312.20;28522499.20;59951131.20
33;152146640.00;74831664.20;41575533.40;51509356.60
34;152146640.00;51262815.20;37971779.80;39499833.20
35;152146640.00;47670942.40;31162007.80;37925895.80
36;152146640.00;46538623.80;27876902.00;41607615.20
37;152146640.00;48696831.20;30789975.20;40017076.80
38;152146640.00;46179852.00;37646610.60;39802258.20
39;152146640.00;48649706.40;32743684.60;41401816.60
40;152146640.00;48009850.40;35668198.20;39068693.80
41;152146640.00;53202181.00;32519884.60;37867209.00
42;152146640.00;53220982.20;32280903.60;39681426.20
43;152146640.00;48384381.60;34292938.00;39688626.80
44;152146640.00;54273493.00;30821516.60;45987353.60
45;152146640.00;51408044.00;38486721.60;43389987.40
46;152146640.00;60774316.60;40014374.00;47163634.80
47;152146640.00;53469242.00;35217217.40;41473240.20
48;152146640.00;52815164.60;35231778.20;45637461.60
49;152146640.00;56015422.00;42318453.20;44918178.80
50;152146640.00;53984265.60;46203530.00;47387152.80
51;152146640.00;59246361.80;39979969.60;44845111.80
52;152146640.00;56349649.80;42637939.80;48729488.60
53;152146640.00;58768179.20;41870113.20;47664195.60
54;152146640.00;60091053.40;37323938.40;46884787.80
55;152146640.00;58943473.60;42820514.60;49931031.60
56;152146640.00;56600469.80;40579599.80;49185846.60
57;152146640.00;61977395.60;40654706.20;47193713.60
58;152146640.00;61603102.60;41941177.60;49173865.00
59;152146640.00;58815880.80;40807158.80;52070135.60
60;152146640.00;66192279.40;44659132.40;50091143.20
61;152146640.00;65515000.40;43396582.40;54512226.40
62;152146640.00;61248289.80;46185184.20;50214873.40
63;152146640.00;66054766.20;44187910.80;51737944.80
64;152146640.00;61603139.80;49679086.60;52939588.80
65;152146640.00;64471388.00;45578430.20;53507957.60
66;152146640.00;62243014.20;51131411.20;57322567.20
67;152146640.00;72334148.20;51433537.20;62172367.60
68;152146640.00;68763718.20;52080972.40;54185015.00
69;152146640.00;73009965.40;48141551.00;56576421.40
70;152146640.00;68177105.60;56549758.80;57836030.20
71;152146640.00;69884633.20;53155404.20;60901835.40
72;152146640.00;73365194.20;52826775.40;56883866.80
73;152146640.00;69321203.20;60638631.40;57880632.60
74;152146640.00;74141600.20;51219435.20;59894166.20
75;152146640.00;67850174.60;59764754.60;57145927.60
76;152146640.00;74562935.20;57558803.20;60844727.20
77;152146640.00;74368277.20;55870696.20;59616580.20
78;152146640.00;73167933.00;51166028.80;61133031.40
79;152146640.00;80631418.00;56129317.80;61367171.20
80;152146640.00;81523534.80;51665750.80;65316472.00
81;152146640.00;79633870.20;64659914.60;65251066.00
82;152146640.00;83324088.40;53970009.20;61160751.00
83;152146640.00;74534187.40;56212962.40;67461576.20
84;152146640.00;75714569.20;68097110.40;64419112.00
85;152146640.00;73448412.60;59439840.60;70489356.40
86;152146640.00;73810103.00;60682447.80;65066006.80
87;152146640.00;89559983.80;61626929.00;67277737.20
88;152146640.00;72358656.00;70396526.20;67692132.40
89;152146640.00;77450435.60;64474393.60;68579409.00
90;152146640.00;83695474.40;62300465.20;80697655.00
91;152146640.00;78873817.00;63956007.80;67666888.40
92;152146640.00;87335547.60;59693918.80;67621723.80
93;152146640.00;104176381.80;69940743.60;78036362.80
94;152146640.00;86231430.20;68898152.60;67744672.80
95;152146640.00;75044463.20;62921635.60;71924593.40
96;152146640.00;83395923.60;63233141.80;71901570.80
97;152146640.00;87558062.20;64355038.00;77157863.80
98;152146640.00;83815218.20;67022047.60;79308688.80
99;152146640.00;80896165.20;70613677.20;73598554.80
100;152146640.00;86593396.20;77701908.40;82655116.20
101;152146640.00;93950930.40;72299041.20;83627219.00
102;152146640.00;97124823.00;73906399.00;78997238.40
103;152146640.00;84441047.40;65787537.80;74438804.00
104;152146640.00;96003024.60;72505837.00;76800907.20
105;152146640.00;100821099.00;71117536.40;74864999.20
106;152146640.00;84786714.80;68744290.80;77066928.40
107;152146640.00;90380596.40;79033537.00;76723558.40
108;152146640.00;112347490.20;85953413.80;86373469.60
109;152146640.00;89656651.60;88587719.60;74877997.40
110;152146640.00;90930680.60;80034981.40;80947640.00
111;152146640.00;91226865.40;72342817.40;77330087.00
112;152146640.00;84878377.00;75725848.00;88481587.80
113;152146640.00;97867175.80;73523277.40;77873812.40
114;152146640.00;95636282.60;77364667.60;83001293.40
115;152146640.00;95171261.40;75029725.60;83703073.20
116;152146640.00;97838330.20;80589863.80;83446470.00
117;152146640.00;94376350.60;93881828.00;83402805.40
118;152146640.00;98516586.20;85528907.20;81429594.40
119;152146640.00;95972646.00;94000836.40;82312749.40
120;152146640.00;92987268.00;89848817.80;82892618.40
121;152146640.00;94233294.00;80633603.00;90336118.60
122;152146640.00;94435950.80;78608208.20;81874429.00
123;152146640.00;104034916.20;82784046.60;83844897.80
124;152146640.00;105365189.40;83865118.40;85325044.40
125;152146640.00;101948634.00;85487657.20;87038590.80
126;152146640.00;106491583.80;82693776.20;86511424.60
127;152146640.00;109415234.20;83229921.40;85835025.00
128;152146640.00;104078093.80;85639867.40;89075583.40
