n_cores;seq_time;threads_time;ff_time;omp_time
1;312175532.40;337442244.40;304275510.80;301180959.60
2;312175532.40;188502409.20;176099301.60;168566009.60
3;312175532.40;158873662.80;171980747.20;133188216.80
4;312175532.40;128170389.60;140055374.80;94239353.60
5;312175532.40;142937968.60;131872370.00;91617360.60
6;312175532.40;129306861.60;115684455.60;77631785.40
7;312175532.40;119321510.80;112391008.00;71406379.20
8;312175532.40;110652686.60;96993137.20;68046666.60
9;312175532.40;109695769.00;105704304.80;72597536.00
10;312175532.40;113414631.00;85600252.20;75105980.00
11;312175532.40;106902222.40;81010939.80;103987085.60
12;312175532.40;100021043.60;82145931.60;68329369.60
13;312175532.40;108619382.00;95238195.40;80180192.00
14;312175532.40;111244055.00;90506970.40;87675500.60
15;312175532.40;119287328.20;90394541.60;82389731.40
16;312175532.40;95988816.20;84787246.60;86109694.00
17;312175532.40;112106545.60;97425112.80;75774514.20
18;312175532.40;91168984.60;91688967.00;110079340.60
19;312175532.40;98209156.80;95886547.80;94649527.20
20;312175532.40;101824230.20;90627420.40;109414287.00
21;312175532.40;101752184.60;91876702.40;104226925.20
22;312175532.40;103592474.00;77808079.60;97088485.80
23;312175532.40;108075438.00;87645079.00;80341365.40
24;312175532.40;110225613.20;91129021.80;120194942.40
25;312175532.40;111847844.80;81287882.40;107872201.40
26;312175532.40;116060326.80;95166669.80;419318338.60
27;312175532.40;110883166.20;98148111.80;290584642.20
28;312175532.40;115909554.40;101768026.00;587004379.60
29;312175532.40;114184714.60;93156867.00;837780790.20
30;312175532.40;119957404.00;105758230.20;962139652.40
31;312175532.40;128829905.00;102228584.00;956985875.40
32;312175532.40;116038466.20;104044531.40;988589064.00
33;312175532.40;125334021.20;94526898.60;102547009.80
34;312175532.40;132658836.20;94261357.00;99391594.00
35;312175532.40;123719390.20;108142244.60;102253506.40
36;312175532.40;113970958.20;92119503.40;106329137.20
37;312175532.40;126791879.80;96958536.20;100980382.80
38;312175532.40;133027886.60;117501825.20;122552995.20
39;312175532.40;140691249.00;102389537.60;115033144.60
40;312175532.40;127857306.60;111602506.00;113549504.40
41;312175532.40;119776570.20;98668595.20;110214773.20
42;312175532.40;115083749.00;99670836.60;109841443.00
43;312175532.40;141391386.00;117459681.80;119816393.40
44;312175532.40;126887388.00;101995005.60;115704279.60
45;312175532.40;134146337.80;98018002.60;119802952.60
46;312175532.40;128634609.80;100897396.60;111889549.80
47;312175532.40;132214641.20;94575122.80;107266354.00
48;312175532.40;131820928.60;98713919.20;122994311.60
49;312175532.40;132206700.40;105210467.00;120087335.40
50;312175532.40;160680333.60;121583977.60;142817482.20
51;312175532.40;149354953.40;117249425.00;124532357.00
52;312175532.40;139759774.20;104989489.40;131969161.00
