n;seq_time;threads_time;ff_time;omp_time
100;1378945.66;13652577.33;11651881.33;5785403.66
200;6067494.00;14565785.66;11396194.33;12396742.00
500;38844928.66;17241703.66;15063192.66;10472619.33
1000;156176845.33;31139768.00;33252339.66;18626349.66
2000;698523025.00;77457005.00;71555158.00;58768450.33
5000;4713615772.33;449822922.00;389369067.00;357359193.66
10000;18889071421.33;1627114200.33;1490888471.00;1499128277.33
15000;42236672423.00;3743401216.00;3366910408.33;3363810327.33
20000;75119975114.33;6458506425.66;5917837772.00;5732000162.00
