n_cores;seq_time;threads_time;ff_time;omp_time
1;18970541284.00;19704946838.00;19150222326.00;19114977906.00
2;18970541284.00;11211543278.00;9885160433.00;9434707394.00
3;18970541284.00;8186891528.00;7350357822.00;6859140055.00
4;18970541284.00;5448358144.00;5449917293.00;4931917816.00
5;18970541284.00;4876350620.00;4400107987.00;3854959118.00
6;18970541284.00;4050461755.00;3649607976.00;3308709589.00
7;18970541284.00;3436121854.00;3182886150.00;2906774077.00
8;18970541284.00;3095705561.00;2848252870.00;2572626751.00
9;18970541284.00;2688080193.00;2513825733.00;2315722517.00
10;18970541284.00;2460663308.00;2311239498.00;2173375387.00
11;18970541284.00;2279013285.00;2157428082.00;1945303668.00
12;18970541284.00;2182744340.00;1963775438.00;1753666803.00
13;18970541284.00;2009718279.00;1800352510.00;1612961040.00
14;18970541284.00;1942773077.00;1696564933.00;1530027565.00
15;18970541284.00;1753033587.00;1587325291.00;1511524850.00
16;18970541284.00;1643906155.00;1534748138.00;1448019056.00
17;18970541284.00;1608181556.00;1481957169.00;1431853446.00
18;18970541284.00;1526828026.00;1428252223.00;1437137887.00
19;18970541284.00;1534991212.00;1484681073.00;1485103905.00
20;18970541284.00;1516078366.00;1436446000.00;1476530351.00
21;18970541284.00;1483662058.00;1456177685.00;1443297172.00
22;18970541284.00;1489908481.00;1544934918.00;1489904574.00
23;18970541284.00;1507174354.00;1418317595.00;1466800669.00
24;18970541284.00;1461909241.00;1447374685.00;1564460168.00
25;18970541284.00;1551336529.00;1416352400.00;1491848799.00
26;18970541284.00;1577007927.00;1441967793.00;1453843912.00
27;18970541284.00;1654330971.00;1463873366.00;1481514682.00
28;18970541284.00;1620034204.00;1507103276.00;1644713522.00
29;18970541284.00;1702069853.00;1622394189.00;1616913714.00
30;18970541284.00;1757551214.00;2064138004.00;1557551888.00
31;18970541284.00;1683865755.00;1509940879.00;1756411793.00
32;18970541284.00;1736819399.00;1565779473.00;1693179636.00
