n_cores;seq_time;ff_time
1;13661157515.00;13728139990.00
2;13661157515.00;6936363791.00
3;13661157515.00;4835454833.00
4;13661157515.00;3627530710.00
5;13661157515.00;5682152579.00
6;13661157515.00;4895695819.00
